"Result","Competitor","Nat","Venue","Date","Gender","Event","StateDope"
"26:17.53","Kenenisa Bekele","ETH","Bruxelles (Boudewijnstadion)","2005-08-26","men","10000m","NULL"
"26:20.31","Kenenisa Bekele","ETH","Ostrava","2004-06-08","men","10000m","NULL"
"26:22.75","Haile Gebrselassie","ETH","Hengelo (Blankers-Koen Stadion)","1998-06-01","men","10000m","NULL"
"26:25.97","Kenenisa Bekele","ETH","Eugene, OR","2008-06-08","men","10000m","NULL"
"26:27.85","Paul Tergat","KEN","Bruxelles","1997-08-22","men","10000m","NULL"
"26:28.72","Kenenisa Bekele","ETH","Hengelo","2005-05-29","men","10000m","NULL"
"26:29.22","Haile Gebrselassie","ETH","Bruxelles (Boudewijnstadion)","2003-09-05","men","10000m","NULL"
"26:30.03","Nicholas Kemboi","KEN","Bruxelles (Boudewijnstadion)","2003-09-05","men","10000m","NULL"
"26:30.74","Abebe Dinkesa","ETH","Hengelo","2005-05-29","men","10000m","NULL"
"26:31.32","Haile Gebrselassie","ETH","Oslo","1997-07-04","men","10000m","NULL"
"26:35.63","Micah Kipkemboi Kogo","KEN","Bruxelles (Boudewijnstadion)","2006-08-25","men","10000m","NULL"
"26:36.26","Paul Kipsigich Koech","KEN","Bruxelles","1997-08-22","men","10000m","NULL"
"26:37.25","Zersenay Tadese","ERI","Bruxelles (Boudewijnstadion)","2006-08-25","men","10000m","NULL"
"26:38.08","Salah Hissou","MAR","Bruxelles","1996-08-23","men","10000m","NULL"
"26:38.76","Ahmad Hassan Abdullah","QAT","Bruxelles (Boudewijnstadion)","2003-09-05","men","10000m","NULL"
"26:39.69","Sileshi Sihine","ETH","Hengelo (Blankers-Koen Stadion)","2004-05-31","men","10000m","NULL"
"26:39.77","Boniface Toroitich Kiprop","UGA","Bruxelles (Boudewijnstadion)","2005-08-26","men","10000m","NULL"
"26:41.58","Haile Gebrselassie","ETH","Hengelo (Blankers-Koen Stadion)","2004-05-31","men","10000m","NULL"
"26:41.75","Samuel Kamau Wanjiru","KEN","Bruxelles (Boudewijnstadion)","2005-08-26","men","10000m","NULL"
"26:41.95","Boniface Toroitich Kiprop","UGA","Bruxelles (Boudewijnstadion)","2006-08-25","men","10000m","NULL"
"26:43.16","Kenenisa Bekele","ETH","Bruxelles (Boudewijnstadion)","2011-09-16","men","10000m","NULL"
"26:43.53","Haile Gebrselassie","ETH","Hengelo (Blankers-Koen Stadion)","1995-06-05","men","10000m","NULL"
"26:43.98","Lucas Kimeli Rotich","KEN","Bruxelles (Boudewijnstadion)","2011-09-16","men","10000m","NULL"
"26:44.36","Galen Rupp","USA","Eugene (Hayward Field), OR","2014-05-30","men","10000m","NULL"
"26:46.19","Kenenisa Bekele","ETH","Bruxelles (Boudewijnstadion)","2007-09-14","men","10000m","NULL"
"26:46.31","Kenenisa Bekele","ETH","Berlin (Olympiastadion)","2009-08-17","men","10000m","NULL"
"26:46.44","Paul Tergat","KEN","Bruxelles","1998-08-28","men","10000m","NULL"
"26:46.57","Mohamed Farah","GBR","Eugene (Hayward Field), OR","2011-06-03","men","10000m","NULL"
"26:47.89","Paul Kipsigich Koech","KEN","Bruxelles","1998-08-28","men","10000m","NULL"
"26:48.00","Galen Rupp","USA","Bruxelles (Boudewijnstadion)","2011-09-16","men","10000m","NULL"
"26:48.35","Imane Merga","ETH","Eugene (Hayward Field), OR","2011-06-03","men","10000m","NULL"
"26:48.73","Sileshi Sihine","ETH","Hengelo (Blankers-Koen Stadion)","2007-05-26","men","10000m","NULL"
"26:48.99","Josphat Bett Kipkoech","KEN","Eugene (Hayward Field), OR","2011-06-03","men","10000m","NULL"
"26:49.02","Eliud Kipchoge","KEN","Hengelo (Blankers-Koen Stadion)","2007-05-26","men","10000m","NULL"
"26:49.20","Moses Ndiema Masai","KEN","Bruxelles (Boudewijnstadion)","2007-09-14","men","10000m","NULL"
"26:49.38","Sammy Kipketer Cheruiyot","KEN","Bruxelles","2002-08-30","men","10000m","NULL"
"26:49.41","Paul Kipngetich Tanui","KEN","Eugene (Hayward Field), OR","2014-05-30","men","10000m","NULL"
"26:49.55","Moses Cheruiyot Mosop","KEN","Hengelo (Blankers-Koen Stadion)","2007-05-26","men","10000m","NULL"
"26:49.57","Kenenisa Bekele","ETH","Paris Saint-Denis (Stade de France)","2003-08-24","men","10000m","NULL"
"26:49.90","Assefa Mezgebu","ETH","Bruxelles","2002-08-30","men","10000m","NULL"
"26:50.12","Zersenay Tadese","ERI","Berlin (Olympiastadion)","2009-08-17","men","10000m","NULL"
"26:50.20","Richard Kipkemei Limo","KEN","Bruxelles","2002-08-30","men","10000m","NULL"
"26:50.53","Sileshi Sihine","ETH","Hengelo (Blankers-Koen Stadion)","2008-05-24","men","10000m","NULL"
"26:50.63","Paul Kipngetich Tanui","KEN","Eugene (Hayward Field), OR","2011-06-03","men","10000m","NULL"
"26:50.67","Ahmad Hassan Abdullah","KEN","Bruxelles","2002-08-30","men","10000m","NULL"
"26:50.77","Haile Gebrselassie","ETH","Paris Saint-Denis (Stade de France)","2003-08-24","men","10000m","NULL"
"26:50.97","Mohamed Farah","GBR","Eugene (Hayward Field), OR","2015-05-29","men","10000m","NULL"
"26:51.02","Dejen Gebremeskel","ETH","Sollentuna","2013-06-27","men","10000m","NULL"
"26:51.09","Zersenay Tadese","ERI","Eugene (Hayward Field), OR","2011-06-03","men","10000m","NULL"
"26:51.11","Yigrem Demelash","ETH","Hengelo (Blankers-Koen Stadion)","2016-06-29","men","10000m","NULL"
"26:51.16","Emmanuel Kipkemei Bett","KEN","Bruxelles (Boudewijnstadion)","2012-09-07","men","10000m","NULL"
"26:51.20","Haile Gebrselassie","ETH","Hengelo (Blankers-Koen Stadion)","2008-05-24","men","10000m","NULL"
"26:51.49","Charles Waweru Kamathi","KEN","Bruxelles","1999-09-03","men","10000m","NULL"
"26:51.68","Vincent Kiprop Chepkok","KEN","Bruxelles (Boudewijnstadion)","2012-09-07","men","10000m","NULL"
"26:51.86","Paul Kipngetich Tanui","KEN","Eugene (Hayward Field), OR","2015-05-29","men","10000m","NULL"
"26:51.87","Nicholas Kemboi","QAT","Bruxelles (Boudewijnstadion)","2005-08-26","men","10000m","NULL"
"26:51.95","Emmanuel Kipkemei Bett","KEN","Bruxelles (Boudewijnstadion)","2011-09-16","men","10000m","NULL"
"26:52.23","William Sigei","KEN","Oslo (Bislett)","1994-07-22","men","10000m","NULL"
"26:52.30","Mohammed Mourhit","BEL","Bruxelles","1999-09-03","men","10000m","NULL"
"26:52.33","Gebregziabher Gebremariam","ETH","Hengelo (Blankers-Koen Stadion)","2007-05-26","men","10000m","NULL"
"26:52.36","Bedan Karoki Muchiri","KEN","Eugene (Hayward Field), OR","2014-05-30","men","10000m","NULL"
"26:52.60","Sammy Kipketer Cheruiyot","KEN","Bruxelles (Boudewijnstadion)","2005-08-26","men","10000m","NULL"
"26:52.65","Kenneth Kiprop Kipkemoi","KEN","Bruxelles (Boudewijnstadion)","2012-09-07","men","10000m","NULL"
"26:52.65","Geoffrey Kipsang Kamworor","KEN","Eugene (Hayward Field), OR","2015-05-29","men","10000m","NULL"
"26:52.81","Haile Gebrselassie","ETH","Hengelo (Blankers-Koen Stadion)","2007-05-26","men","10000m","NULL"
"26:52.84","Sileshi Sihine","ETH","Eugene (Hayward Field), OR","2011-06-03","men","10000m","NULL"
"26:52.85","Abera Kuma","ETH","Sollentuna","2013-06-27","men","10000m","NULL"
"26:52.87","John Cheruiyot Korir","KEN","Bruxelles","2002-08-30","men","10000m","NULL"
"26:52.93","Mark Bett Kipkinyor","KEN","Bruxelles (Boudewijnstadion)","2005-08-26","men","10000m","NULL"
"26:53.27","Eliud Kipchoge","KEN","Bruxelles (Boudewijnstadion)","2011-09-16","men","10000m","NULL"
"26:53.70","Kenenisa Bekele","ETH","Hengelo (Blankers-Koen Stadion)","2003-06-01","men","10000m","NULL"
"26:53.71","Mohamed Farah","GBR","Eugene (Hayward Field), OR","2016-05-27","men","10000m","NULL"
"26:53.73","Gebregziabher Gebremariam","ETH","Ostrava","2004-06-08","men","10000m","NULL"
"26:54.25","Mathew Kipkoech Kisorio","KEN","Eugene (Hayward Field), OR","2011-06-03","men","10000m","NULL"
"26:54.32","Eliud Kipchoge","KEN","Hengelo (Blankers-Koen Stadion)","2008-05-24","men","10000m","NULL"
"26:54.41","Paul Tergat","KEN","Bruxelles","1996-08-23","men","10000m","NULL"
"26:54.58","Haile Gebrselassie","ETH","Hengelo (Blankers-Koen Stadion)","2003-06-01","men","10000m","NULL"
"26:54.61","Stephen Sambu","KEN","Eugene (Hayward Field), OR","2014-05-30","men","10000m","NULL"
"26:54.64","Mark Kosgei Kiptoo","KEN","Eugene (Hayward Field), OR","2011-06-03","men","10000m","NULL"
"26:54.66","William Malel Sitonik","KEN","Eugene (Hayward Field), OR","2016-05-27","men","10000m","NULL"
"26:55.29","Leonard Patrick Komon","KEN","Eugene (Hayward Field), OR","2011-06-03","men","10000m","NULL"
"26:55.73","Geoffrey Kipkorir Kirui","KEN","Bruxelles (Boudewijnstadion)","2011-09-16","men","10000m","NULL"
"26:56.63","Richard Kipkemei Limo","KEN","Bruxelles (Boudewijnstadion)","2003-09-05","men","10000m","NULL"
"26:56.74","Josphat Kiprono Menjo","KEN","Turku","2010-08-29","men","10000m","NULL"
"26:56.78","Paul Kipsigich Koech","KEN","Bruxelles","1996-08-23","men","10000m","NULL"
"26:57.08","Leonard Patrick Komon","KEN","Hengelo (Blankers-Koen Stadion)","2008-05-24","men","10000m","NULL"
"26:57.27","Sileshi Sihine","ETH","Praha (Stadion Juliska)","2005-06-27","men","10000m","NULL"
"26:57.33","Tamirat Tola","ETH","Eugene (Hayward Field), OR","2016-05-27","men","10000m","NULL"
"26:57.33","Imane Merga","ETH","Sollentuna","2013-06-27","men","10000m","NULL"
"26:57.36","Josphat Muchiri Ndambiri","KEN","Fukuroi","2009-05-03","men","10000m","NULL"
"26:57.39","Moses Ndiema Masai","KEN","Berlin (Olympiastadion)","2009-08-17","men","10000m","NULL"
"26:57.45","Tamirat Tola","ETH","Hengelo (Blankers-Koen Stadion)","2016-06-29","men","10000m","NULL"
"26:57.56","Yigrem Demelash","ETH","Bruxelles (Boudewijnstadion)","2012-09-07","men","10000m","NULL"
"26:57.88","Abadi Hadis","ETH","Hengelo (Blankers-Koen Stadion)","2016-06-29","men","10000m","NULL"
"26:58.25","Stephen Sambu","KEN","Eugene (Hayward Field), OR","2016-05-27","men","10000m","NULL"
"26:58.38","Yobes Ondieki","KEN","Oslo","1993-07-10","men","10000m","NULL"
"26:58.40","Josphat Muchiri Ndambiri","KEN","Tendo","2009-05-16","men","10000m","NULL"
"26:58.42","Micah Kipkemboi Kogo","KEN","Bruxelles (Boudewijnstadion)","2007-09-14","men","10000m","NULL"
"26:58.75","Ibrahim Jeilan","ETH","Eugene (Hayward Field), OR","2016-05-27","men","10000m","NULL"
"26:58.76","Sileshi Sihine","ETH","Hengelo (Blankers-Koen Stadion)","2003-06-01","men","10000m","NULL"
"9.58","Usain Bolt","JAM","Berlin (Olympiastadion)","2009-08-16","men","100m","NULL"
"9.63","Usain Bolt","JAM","London (Olympic Stadium)","2012-08-05","men","100m","NULL"
"9.69","Yohan Blake","JAM","Lausanne (Pontaise)","2012-08-23","men","100m","NULL"
"9.69","Tyson Gay","USA","Shanghai","2009-09-20","men","100m","NULL"
"9.69","Usain Bolt","JAM","Beijing (National Stadium)","2008-08-16","men","100m","NULL"
"9.71","Tyson Gay","USA","Berlin (Olympiastadion)","2009-08-16","men","100m","NULL"
"9.72","Asafa Powell","JAM","Lausanne (Pontaise)","2008-09-02","men","100m","NULL"
"9.72","Usain Bolt","JAM","New York City (Icahn), NY","2008-05-31","men","100m","NULL"
"9.74","Asafa Powell","JAM","Rieti (Guidobaldi)","2007-09-09","men","100m","NULL"
"9.74","Justin Gatlin","USA","Doha (Hamad Bin Suhaim)","2015-05-15","men","100m","NULL"
"9.75","Yohan Blake","JAM","London (Olympic Stadium)","2012-08-05","men","100m","NULL"
"9.75","Justin Gatlin","USA","Roma (Stadio Olimpico)","2015-06-04","men","100m","NULL"
"9.75","Justin Gatlin","USA","Lausanne (Pontaise)","2015-07-09","men","100m","NULL"
"9.75","Yohan Blake","JAM","Kingston (NS), JAM","2012-06-29","men","100m","NULL"
"9.76","Yohan Blake","JAM","Zürich (Letzigrund)","2012-08-30","men","100m","NULL"
"9.76","Usain Bolt","JAM","Roma (Stadio Olimpico)","2012-05-31","men","100m","NULL"
"9.76","Usain Bolt","JAM","Bruxelles (Boudewijnstadion)","2011-09-16","men","100m","NULL"
"9.76","Usain Bolt","JAM","Kingston (NS), JAM","2008-05-03","men","100m","NULL"
"9.77","Usain Bolt","JAM","Bruxelles (Boudewijnstadion)","2008-09-05","men","100m","NULL"
"9.77","Asafa Powell","JAM","Athína (Olympic Stadium)","2005-06-14","men","100m","NULL"
"9.77","Asafa Powell","JAM","Rieti","2008-09-07","men","100m","NULL"
"9.77","Justin Gatlin","USA","Bruxelles (Boudewijnstadion)","2014-09-05","men","100m","NULL"
"9.77","Usain Bolt","JAM","Moskva (Luzhniki)","2013-08-11","men","100m","NULL"
"9.77","Tyson Gay","USA","Eugene, OR","2008-06-28","men","100m","NULL"
"9.77","Justin Gatlin","USA","Beijing (National Stadium)","2015-08-23","men","100m","NULL"
"9.77","Tyson Gay","USA","Roma (Stadio Olimpico)","2009-07-10","men","100m","NULL"
"9.77","Asafa Powell","JAM","Zürich","2006-08-18","men","100m","NULL"
"9.77","Asafa Powell","JAM","Gateshead (International Stadium)","2006-06-11","men","100m","NULL"
"9.78","Tyson Gay","USA","London (Crystal Palace)","2010-08-13","men","100m","NULL"
"9.78","Asafa Powell","JAM","Lausanne (Pontaise)","2011-06-30","men","100m","NULL"
"9.78","Nesta Carter","JAM","Rieti (Guidobaldi)","2010-08-29","men","100m","NULL"
"9.78","Justin Gatlin","USA","Monaco (Stade Louis II)","2015-07-17","men","100m","NULL"
"9.78","Asafa Powell","JAM","Rieti (Guidobaldi)","2007-09-09","men","100m","NULL"
"9.79","Usain Bolt","JAM","Beijing (National Stadium)","2015-08-23","men","100m","NULL"
"9.79","Usain Bolt","JAM","Paris Saint-Denis","2009-07-17","men","100m","NULL"
"9.79","Justin Gatlin","USA","London (Olympic Stadium)","2012-08-05","men","100m","NULL"
"9.79","Usain Bolt","JAM","Oslo (Bislett)","2012-06-07","men","100m","NULL"
"9.79","Tyson Gay","USA","Clermont, FL","2011-06-04","men","100m","NULL"
"9.79","Tyson Gay","USA","Bruxelles (Boudewijnstadion)","2010-08-27","men","100m","NULL"
"9.79","Maurice Greene","USA","Athína","1999-06-16","men","100m","NULL"
"9.80","Justin Gatlin","USA","Beijing (National Stadium)","2015-08-23","men","100m","NULL"
"9.80","Usain Bolt","JAM","Bruxelles (Boudewijnstadion)","2013-09-06","men","100m","NULL"
"9.80","Maurice Greene","USA","Sevilla (La Cartuja)","1999-08-22","men","100m","NULL"
"9.80","Justin Gatlin","USA","Lausanne (Pontaise)","2014-07-03","men","100m","NULL"
"9.80","Justin Gatlin","USA","Eugene (Hayward Field), OR","2016-07-03","men","100m","NULL"
"9.80","Justin Gatlin","USA","Eugene, OR","2012-06-24","men","100m","NULL"
"9.80","Steve Mullings","JAM","Eugene (Hayward Field), OR","2011-06-04","men","100m","NULL"
"9.81","Usain Bolt","JAM","Zürich (Letzigrund)","2009-08-28","men","100m","NULL"
"9.81","Asafa Powell","JAM","Paris Saint-Denis (Stade de France)","2015-07-04","men","100m","NULL"
"9.81","Usain Bolt","JAM","Rio de Janeiro (Estádio Olímpico)","2016-08-14","men","100m","NULL"
"9.82","Asafa Powell","JAM","Rieti","2008-09-07","men","100m","NULL"
"9.82","Asafa Powell","JAM","Monaco (Stade Louis II)","2008-07-29","men","100m","NULL"
"9.82","Richard Thompson","TTO","Port of Spain","2014-06-21","men","100m","NULL"
"9.82","Justin Gatlin","USA","London (Olympic Stadium)","2012-08-05","men","100m","NULL"
"9.82","Asafa Powell","JAM","Roma (Stadio Olimpico)","2010-06-10","men","100m","NULL"
"9.82","Justin Gatlin","USA","Linz","2014-07-14","men","100m","NULL"
"9.82","Usain Bolt","JAM","Kingston (NS), JAM","2012-05-05","men","100m","NULL"
"9.82","Usain Bolt","JAM","Lausanne (Pontaise)","2010-07-08","men","100m","NULL"
"9.82","Yohan Blake","JAM","Zürich (Letzigrund)","2011-09-08","men","100m","NULL"
"9.82","Asafa Powell","JAM","Szczecin","2009-09-15","men","100m","NULL"
"9.82","Yohan Blake","JAM","Berlin (Olympiastadion)","2011-09-11","men","100m","NULL"
"9.82","Maurice Greene","USA","Edmonton (Commonwealth Stadium)","2001-08-05","men","100m","NULL"
"9.83","Usain Bolt","JAM","Zürich (Letzigrund)","2008-08-29","men","100m","NULL"
"9.83","Justin Gatlin","USA","Rieti (Guidobaldi)","2014-09-07","men","100m","NULL"
"9.83","Justin Gatlin","USA","Eugene (Hayward Field), OR","2016-07-03","men","100m","NULL"
"9.83","Asafa Powell","JAM","Ostrava (Mestský Stadion)","2010-05-27","men","100m","NULL"
"9.83","Asafa Powell","JAM","Bruxelles (Boudewijnstadion)","2008-09-05","men","100m","NULL"
"9.83","Asafa Powell","JAM","Stuttgart (Gottlieb-Daimler Stadion)","2007-09-22","men","100m","NULL"
"9.84","Yohan Blake","JAM","George Town, CAY","2012-05-09","men","100m","NULL"
"9.84","Trayvon Bromell","USA","Eugene (Hayward Field), OR","2015-06-25","men","100m","NULL"
"9.84","Asafa Powell","JAM","Kingston (NS), JAM","2015-05-09","men","100m","NULL"
"9.84","Usain Bolt","JAM","Paris Saint-Denis (Stade de France)","2010-07-16","men","100m","NULL"
"9.84","Donovan Bailey","CAN","Atlanta (Olympic Stadium), GA","1996-07-27","men","100m","NULL"
"9.84","Trayvon Bromell","USA","Eugene (Hayward Field), OR","2016-07-03","men","100m","NULL"
"9.84","Asafa Powell","JAM","Kingston (NS), JAM","2015-06-26","men","100m","NULL"
"9.84","Tyson Gay","USA","Stockholm (Olympiastadion)","2010-08-06","men","100m","NULL"
"9.84","Asafa Powell","JAM","Berlin (Olympiastadion)","2009-08-16","men","100m","NULL"
"9.84","Asafa Powell","JAM","Bruxelles (Boudewijnstadion)","2007-09-14","men","100m","NULL"
"9.84","Tyson Gay","USA","Indianapolis, IN","2007-06-22","men","100m","NULL"
"9.84","Tyson Gay","USA","Zürich","2006-08-18","men","100m","NULL"
"9.84","Asafa Powell","JAM","Kingston, JAM","2005-05-07","men","100m","NULL"
"9.84","Bruny Surin","CAN","Sevilla (La Cartuja)","1999-08-22","men","100m","NULL"
"9.85","Nesta Carter","JAM","Bruxelles (Boudewijnstadion)","2010-08-27","men","100m","NULL"
"9.85","Asafa Powell","JAM","Paris Saint-Denis","2006-07-08","men","100m","NULL"
"9.85","Usain Bolt","JAM","Beijing (National Stadium)","2008-08-16","men","100m","NULL"
"9.85","Asafa Powell","JAM","Shanghai","2009-09-20","men","100m","NULL"
"9.85","Richard Thompson","TTO","Port of Spain","2011-08-13","men","100m","NULL"
"9.85","Usain Bolt","JAM","Zagreb (Sports Park Mladost)","2011-09-13","men","100m","NULL"
"9.85","Yohan Blake","JAM","Luzern","2012-07-17","men","100m","NULL"
"9.85","Asafa Powell","JAM","Oslo (Bislett)","2012-06-07","men","100m","NULL"
"9.85","Mike Rodgers","USA","Eugene (Hayward Field), OR","2011-06-04","men","100m","NULL"
"9.85","Usain Bolt","JAM","Kingston (NS), JAM","2008-06-28","men","100m","NULL"
"9.85","Tyson Gay","USA","New York City (Icahn), NY","2008-05-31","men","100m","NULL"
"9.85","Tyson Gay","USA","Osaka (Nagai Stadium)","2007-08-26","men","100m","NULL"
"9.85","Asafa Powell","JAM","Roma (Stadio Olimpico)","2006-07-14","men","100m","NULL"
"9.85","Olusoji A. Fasuba","NGR","Doha","2006-05-12","men","100m","NULL"
"9.85","Asafa Powell","JAM","Ostrava","2005-06-09","men","100m","NULL"
"9.85","Justin Gatlin","USA","Athína (Olympic Stadium)","2004-08-22","men","100m","NULL"
"9.85","Maurice Greene","USA","Roma (Stadio Olimpico)","1999-07-07","men","100m","NULL"
"9.85","Leroy Burrell","USA","Lausanne (Pontaise)","1994-07-06","men","100m","NULL"
"12.80","Aries Merritt","USA","Bruxelles (Boudewijnstadion)","2012-09-07","men","110mh","NULL"
"12.87","Dayron Robles","CUB","Ostrava","2008-06-12","men","110mh","NULL"
"12.88","Dayron Robles","CUB","Paris Saint-Denis","2008-07-18","men","110mh","NULL"
"12.88","Xiang Liu","CHN","Lausanne (Pontaise)","2006-07-11","men","110mh","NULL"
"12.89","David Oliver","USA","Paris Saint-Denis (Stade de France)","2010-07-16","men","110mh","NULL"
"12.90","Dominique Arnold","USA","Lausanne (Pontaise)","2006-07-11","men","110mh","NULL"
"12.90","David Oliver","USA","Eugene (Hayward Field), OR","2010-07-03","men","110mh","NULL"
"12.91","Xiang Liu","CHN","Athína (Olympic Stadium)","2004-08-27","men","110mh","NULL"
"12.91","Dayron Robles","CUB","Stockholm","2008-07-22","men","110mh","NULL"
"12.91","Colin Jackson","GBR","Stuttgart (Gottlieb-Daimler Stadion)","1993-08-20","men","110mh","NULL"
"12.92","Xiang Liu","CHN","New York City (Icahn), NY","2007-06-02","men","110mh","NULL"
"12.92","Allen Johnson","USA","Bruxelles","1996-08-23","men","110mh","NULL"
"12.92","Allen Johnson","USA","Atlanta, GA","1996-06-23","men","110mh","NULL"
"12.92","Dayron Robles","CUB","Stuttgart (Gottlieb-Daimler Stadion)","2007-09-23","men","110mh","NULL"
"12.92","Roger Kingdom","USA","Zürich (Letzigrund)","1989-08-16","men","110mh","NULL"
"12.92","Aries Merritt","USA","London (Olympic Stadium)","2012-08-08","men","110mh","NULL"
"12.93","Aries Merritt","USA","Eugene, OR","2012-06-30","men","110mh","NULL"
"12.93","Aries Merritt","USA","Monaco (Stade Louis II)","2012-07-20","men","110mh","NULL"
"12.93","Renaldo Nehemiah","USA","Zürich","1981-08-19","men","110mh","NULL"
"12.93","Aries Merritt","USA","London (Crystal Palace)","2012-07-13","men","110mh","NULL"
"12.93","David Oliver","USA","Des Moines, IA","2010-06-27","men","110mh","NULL"
"12.93","Xiang Liu","CHN","Stuttgart (Gottlieb-Daimler Stadion)","2006-09-09","men","110mh","NULL"
"12.93","Allen Johnson","USA","Athína (Olympic Stadium)","1997-08-07","men","110mh","NULL"
"12.93","David Oliver","USA","Zürich (Letzigrund)","2010-08-19","men","110mh","NULL"
"12.93","Dayron Robles","CUB","Beijing (National Stadium)","2008-08-21","men","110mh","NULL"
"12.94","Jack Pierce","USA","Atlanta, GA","1996-06-22","men","110mh","NULL"
"12.94","Orlando Ortega","CUB","Paris Saint-Denis (Stade de France)","2015-07-04","men","110mh","NULL"
"12.94","Hansle Parchment","JAM","Paris Saint-Denis (Stade de France)","2014-07-05","men","110mh","NULL"
"12.94","Aries Merritt","USA","London (Olympic Stadium)","2012-08-08","men","110mh","NULL"
"12.94","David Oliver","USA","Eugene (Hayward Field), OR","2011-06-04","men","110mh","NULL"
"12.95","Pascal Martinot-Lagarde","FRA","Monaco (Stade Louis II)","2014-07-18","men","110mh","NULL"
"12.95","Aries Merritt","USA","Birmingham (Alexander), GBR","2012-08-26","men","110mh","NULL"
"12.95","Dayron Robles","CUB","Dubnica nad Váhom","2008-09-07","men","110mh","NULL"
"12.95","David Oliver","USA","Doha","2008-05-09","men","110mh","NULL"
"12.95","Xiang Liu","CHN","Osaka (Nagai Stadium)","2007-08-31","men","110mh","NULL"
"12.95","Terrence Trammell","USA","New York City (Icahn), NY","2007-06-02","men","110mh","NULL"
"12.95","Allen Johnson","USA","Atlanta (Olympic Stadium), GA","1996-07-29","men","110mh","NULL"
"12.96","Dayron Robles","CUB","Villeneuve-d'Ascq","2008-06-27","men","110mh","NULL"
"12.96","Allen Johnson","USA","Athína (Olympic Stadium)","2006-09-17","men","110mh","NULL"
"12.97","Xiang Liu","CHN","Shanghai (SS)","2012-05-19","men","110mh","NULL"
"12.97","Colin Jackson","GBR","Sestriere","1993-07-28","men","110mh","NULL"
"12.97","Dayron Robles","CUB","Zürich (Letzigrund)","2008-08-29","men","110mh","NULL"
"12.97","Aries Merritt","USA","Berlin (Olympiastadion)","2012-09-02","men","110mh","NULL"
"12.97","Roger Kingdom","USA","Sestriere","1988-08-11","men","110mh","NULL"
"12.97","Allen Johnson","USA","Sacramento, CA","2000-07-23","men","110mh","NULL"
"12.97","Allen Johnson","USA","Stuttgart","1997-07-13","men","110mh","NULL"
"12.97","Ladji Doucouré","FRA","Angers","2005-07-15","men","110mh","NULL"
"12.97","Omar McLeod","JAM","Kingston (NS), JAM","2015-06-27","men","110mh","NULL"
"12.97","Allen Johnson","USA","Paris Saint-Denis","2003-07-04","men","110mh","NULL"
"12.98","Sergey Shubenkov","RUS","Beijing (National Stadium)","2015-08-28","men","110mh","RUS"
"12.98","Roger Kingdom","USA","Seoul (Olympic Stadium)","1988-09-26","men","110mh","NULL"
"12.98","David Oliver","USA","Zürich (Letzigrund)","2008-08-29","men","110mh","NULL"
"12.98","Colin Jackson","GBR","Tokyo","1994-09-15","men","110mh","NULL"
"12.98","Mark Crear","USA","Zagreb","1999-07-05","men","110mh","NULL"
"12.98","Omar McLeod","JAM","Shanghai","2016-05-14","men","110mh","NULL"
"12.98","Allen Johnson","USA","Zürich","1998-08-12","men","110mh","NULL"
"12.98","Allen Johnson","USA","Köln","1995-08-18","men","110mh","NULL"
"12.98","Jason Richardson","USA","Birmingham (Alexander), GBR","2012-08-26","men","110mh","NULL"
"12.98","Jason Richardson","USA","Eugene, OR","2012-06-30","men","110mh","NULL"
"12.98","Jason Richardson","USA","Eugene, OR","2012-06-30","men","110mh","NULL"
"12.98","David Oliver","USA","Paris Saint-Denis (Stade de France)","2015-07-04","men","110mh","NULL"
"12.99","Colin Jackson","GBR","Bruxelles","1993-09-03","men","110mh","NULL"
"12.99","David Oliver","USA","Shanghai (SS)","2010-05-23","men","110mh","NULL"
"12.99","Allen Johnson","USA","Carson, CA","2005-06-24","men","110mh","NULL"
"12.99","Colin Jackson","GBR","Madrid","1994-09-06","men","110mh","NULL"
"12.99","Ronnie Ash","USA","Sacramento, CA","2014-06-29","men","110mh","NULL"
"12.99","Terrence Trammell","USA","Osaka (Nagai Stadium)","2007-08-31","men","110mh","NULL"
"13.00","Xiang Liu","CHN","Eugene (Hayward Field), OR","2011-06-04","men","110mh","NULL"
"13.00","Ladji Doucouré","FRA","Oslo","2005-07-29","men","110mh","NULL"
"13.00","Anier García","CUB","Sydney (Olympic Stadium)","2000-09-25","men","110mh","NULL"
"13.00","Allen Johnson","USA","Göteborg (Ullevi Stadium)","1995-08-12","men","110mh","NULL"
"13.00","Mark Crear","USA","Zürich","1998-08-12","men","110mh","NULL"
"13.00","Dayron Robles","CUB","Stuttgart (Gottlieb-Daimler Stadion)","2006-09-09","men","110mh","NULL"
"13.00","David Oliver","USA","Moskva (Luzhniki)","2013-08-12","men","110mh","NULL"
"13.00","Renaldo Nehemiah","USA","Los Angeles (Westwood), CA","1979-05-06","men","110mh","NULL"
"13.00","Dayron Robles","CUB","Zagreb (Sports Park Mladost)","2011-09-13","men","110mh","NULL"
"13.00","Tony Jarrett","GBR","Stuttgart (Gottlieb-Daimler Stadion)","1993-08-20","men","110mh","NULL"
"13.01","Dayron Robles","CUB","Shanghai","2007-09-28","men","110mh","NULL"
"13.01","Omar McLeod","JAM","Kingston (NS), JAM","2016-07-02","men","110mh","NULL"
"13.01","Larry Wade","USA","Lausanne (Pontaise)","1999-07-02","men","110mh","NULL"
"13.01","David Oliver","USA","Rieti (Guidobaldi)","2010-08-29","men","110mh","NULL"
